place_id;name_place;fragment_id;;;;;;
amurzet;Амурзет;1089_0.0, 1089_16.0, 1089_17.0, 1089_19.0, 1089_21.0, 1089_25.0, 1089_27.0, 1089_28.0, 1089_47.0, 1089_55.0, 1089_56.0, 1089_61.0, 1100_41.0, 1104_2.0, 1123_90.0;;;;;;
anapa;Анапа;1120_2.0;;;"В столбце place_id - уникальный идентификатор места (он складывается из части названия населенного пункта, в котором находится и типа места).
В столбце name_place - название места на русском языке.
В столбце fragment_id - минута интервью.";;;
belarus;Беларусь;1102_16.0;;;;;;
belaya_tserkov;Белая Церковь - город в Киевской области;1092_3.0;;;;;;
berdichev;Бердичев - город в Житомирской области, Украина;1094_2.0, 1098_2.0;;;;;;
bijan;Биджан;1120_2.0, 1120_3.0, 1120_33.0;;;;;;
bir;Биробиджан;1092_0.0, 1092_10.0, 1092_25.0, 1092_39.0, 1092_40.0, 1092_41.0, 1089_16.0, 1078_0.0, 1078_19.0, 1078_23.0, 1078_29.0, 1078_34.0, 1078_37.0, 1100_34.0, 1100_35.0, 1100_41.0, 1100_44.0, 1103_0.0, 1103_13.0, 1103_17.0, 1103_2.0, 1093_23.0, 1094_0.0, 1094_106.0, 1094_14.0, 1094_35.0, 1094_50.0, 1098_49.0, 1087_2.0, 1087_8, 1087_9.0, 1087_12.0, 1087_20.0, 1087_21.0, 1087_22.0, 1087_23.0, 1087_38.0, 1087_49.0, 1087_56.0, 1110_14.0, 1110_22.0, 1110_29.0, 1110_30.0, 1110_32.0, 1110_38.0, 1110_40.0, 1110_61.0, 1107_19.0, 1126_1.0, 1126_11.0, 1126_25.0, 1126_26.0, 1126_30.0, 1126_31.0, 1104_1.0, 1104_39.0, 1104_93.0, 1116_4.0, 1116_11.0, 1116_40.0, 1116_44.0, 1116_48.0, 1116_50.0, 1116_52.0, 1116_71.0, 1116_77.0, 1123_13.0, 1123_14.0, 1123_66.0, 1123_70.0, 1105_36.0, 1105_37.0, 1105_84.0, 1105_87.0, 1105_101.0, 1102_0.0, 1102_34.0, 1102_36.0, 1102_49.0, 1102_59.0, 1119_0.0, 1119_7.0, 1120_3.0, 1120_6.0, 1120_30.0, 1120_60.0, 1120_62.0, 1106_22.0, 1115_0.0, 1115_3.0, 1115_11.0, 1108_1.0, 1108_4.0, 1108_10.0, 1108_12.0, 1108_15.0, 1108_18.0, 1108_19.0, 1108_32.0, 1108_36.0, 1096_0.0, 1096_14.0, 1096_16.0, 1096_20.0, 1096_31.0, 1096_38.0, 1096_45.0;;;;;;
bir_arbat;улица Арбат в Биробиджане;1087_41.0;;;;;;
bir_beziminka;Район Безыменка в Биробиджане;1092_52.0, 1078_20.0;;;;;;
bir_bibl;Научная библиотека в Биробиджане;1123_28.0, 1096_53.0;;;;;;
bir_biraria;Бирария - творческое пространство, сувенирный магазин в Биробиджане;1087_53.0;;;;;;
bir_boloto;Болото вокруг Биробиджана (не сохр.);1092_53.0, 1094_111.0;;;;;;
bir_brodvey;Брод, Бродвей - улицы Горького и Октябрьского в Биробиджане;1092_48.0, 1094_66.0;;;;;;
bir_bumagin;Район Бумагина в Биробиджане;1078_50.0, 1078_51.0;;;;;;
bir_bumagin_skver;Сквер Бумагина в Биробиджане;1078_51.0, 1094_93.0;;;;;;
bir_caf_sobor;Кафедральный собор Благовещения Пресвятой Богородицы;1092_59.0;;;;;;
bir_chasovnya_pravosl;Православная Державная часовня в сквере (бывш. еврейском) в Биробиджане;1092_28.0, 1092_29.0, 1092_30.0, 1092_31.0;;;;;;
bir_dalselmash;Завод Дальсельмаш в Биробиджане;1092_51.0, 1092_56.0, 1078_0.0, 1078_13.0, 1078_15.0, 1078_16.0, 1078_17.0, 1078_18.0, 1078_19.0, 1078_2.0, 1078_35.0, 1078_39.0, 1123_3.0;;;;;;
bir_det_centr;Детско-юношеский центр (при синагоге) в Биробиджане;1092_23.0, 1093_131.0, 1110_52.0, 1119_25.0, 1108_78.0;;;;;;
bir_det_dom;Детский дом в Биробиджане;1089_13.0, 1089_28.0, 1089_39.0;;;;;;
bir_dom_culture;Дом культуры в Биробиджане;1094_104.0, 1087_26.0, 1102_27.0, 1115_13.0;;;;;;
bir_dom_vrach;Дом врачей на улице Ленина в Биробиджане;1092_58.0;;;;;;
bir_falanga;Район Фаланга в Биробиджане;1092_51.0, 1078_14.0, 1078_20.0;;;;;;
bir_filarmonia;Филармония в Биробиджане;1087_27.0, 1115_13.0;;;;;;
bir_freid;Община Фрейд, располагается в синагоге Бейт-Менахем в Биробиджане;1105_42.0, 1105_56.0, 1105_101.0, 1120_50.0, 1120_61.0, 1115_9.0, 1115_10.0;;;;;;
bir_gimnazia_1;Гимназия №1 в Биробиджане;1092_18.0, 1093_131.0;;;;;;
bir_gost_centr;Гостинница Центральная в Биробиджане;1092_25.0;;;;;;
bir_ikarp;Институт комплексного анализа региональных проблем;1093_135.0, 1123_23.0;;;;;;
bir_institute;Институт в Биробиджане;1092_21.0, 1092_23.0, 1093_1.0, 1120_3.0, 1106_3.0;;;;;;
bir_jew_school;Еврейская воскресная школа № 2 (не сохр.) в Биробиджане;1092_17.0, 1093_135.0, 1093_31.0, 1093_33.0, 1110_26.0, 1104_59.0, 1116_52.0, 1116_59.0, 1123_28.0, 1105_8.0, 1105_13.0, 1105_16.0, 1105_19.0, 1105_40.0, 1105_87.0;;;;;;
bir_jew_skver;Еврейский скверик (ныне площадь с часовней);1092_28.0, 1092_29.0, 1092_31.0, 1092_63.0, 1094_67.0, 1108_65.0;;;;;;
